"","CH-ET_LTAzI-2","CH-ET_LTAzI-11","CH-ET_LTAzI-6","CH-ET_LTAzI-3","CH-ET_LTAzI-7/8/9/17/19/20","CH-ET_LTAzI-1","CH-ET_LTAzI-12","CH-ET_LTAzI-4","CH-ET_LTAzI-13","CH-ET_LTAzI-10","CH-ET_LTAzI-14","CH-ET_LTAzI-15","CH-ET_LTAzI-16","CH-ET_LTAzI-18","CH-ET_LTAzI-5","CH-ET_LTAzI-22","CH-ET_LTAzI-21","IX-ET_LTAzI-12","IX-ET_LTAzI-1","IX-ET_LTAzI-3","IX-ET_LTAzI-11","IX-ET_LTAzI-5","IX-ET_LTAzI-7","IX-ET_LTAzI-8","IX-ET_LTAzI-9","IX-ET_LTAzI-10","IX-ET_LTAzI-4","IX-ET_LTAzI-6","TX-ET_LTAzI-1","TX-ET_LTAzI-4","TX-ET_LTAzI-3","TX-ET_LTAzI-2","IX-ET_LTAzI-2/5/6TX-ET_LTAzI-2/5/6","XO-ET_LTAzI-2","XO-ET_LTAzI-1"
"IX-ET_LTAzI-9",5.77256159345913,6.35980790810702,3.49269349029005,6.32364950130119,3.85415380578579,2.75153415056953,5.85576359424837,6.98978932875602,4.29798372826985,4.68137357444445,7.97266088977972,8.04447912907969,8.26806415212968,4.26651326855838,8.37085615055004,2.19963721594132,2.48658496411591,4.5804784755796,2.54103882041366,2.29447377712501,1.29584403948338,1.16267589588944,1.42920518011123,1.50872056831114,0,1.4876363069719,1.19730568126745,1.07599642235741,4.33620692897926,3.24164914435327,2.84419425684038,3.58334500878382,2.87109004123158,1.19999743929631,1.19492183115335
"IX-ET_LTAzI-10",7.26019790043103,7.84744421507892,4.98032979726196,7.81128580827309,5.3417901127577,4.23917045754143,7.34339990122028,8.47742563572792,5.78562003524176,6.16900988141635,9.46029719675163,9.5321154360516,9.75570045910158,5.75414957553029,9.85849245752194,3.68727352291323,3.97422127108781,5.64458390339286,3.70541531198234,2.83908251106663,2.78348034645528,2.10138379959657,1.97381391405285,1.69195751055769,1.4876363069719,0,2.68494198823935,2.12468165651141,4.88081566292088,3.78625787829489,3.02743119908693,3.76658195103037,3.4156987751732,2.68763374626821,2.68255813812526
"IX-ET_LTAzI-4",4.57525591219168,5.16250222683957,2.2953878090226,5.12634382003374,2.65684812451835,1.55422846930208,4.65845791298092,5.79248364748857,3.1006780470024,3.484067893177,6.77535520851228,6.84717344781224,7.07075847086223,3.06920758729093,7.17355046928258,2.08155498438592,2.3685027325605,3.38317279431215,1.34373313914621,1.443840390609,0.0985383582159254,1.18504157688013,1.45157086110193,1.59446786591902,1.19730568126745,2.68494198823935,0,1.27172105041216,3.48557354246325,2.39101575783726,2.92994155444826,3.20562223121702,2.02045665471557,1.612805438699,1.07683959959795
"IX-ET_LTAzI-6",5.84697696260384,6.43422327725173,3.56710885943477,6.3980648704459,3.92856917493051,2.82594951971424,5.93017896339309,7.06420469790073,4.37239909741457,4.75578894358916,8.04707625892444,8.11889449822441,8.34247952127439,4.3409286377031,8.44527151969475,3.27563363829873,3.56258138647332,4.02397874709383,2.08481015568331,1.2184773547676,1.37025940862809,0.0866794735320289,0.353208757753825,0.432724145953728,1.07599642235741,2.12468165651141,1.27172105041216,0,3.26021050662186,2.16565272199586,1.76819783448297,2.50734858642641,1.79509361887418,2.27599386165372,2.27091825351076
"TX-ET_LTAzI-1",3.47185539495832,4.0591017096062,4.17734856492632,4.21458619982693,4.53880888042206,3.46141714314066,4.68247210687975,5.81649784138739,2.76405722211822,2.38066737594363,6.7993694024111,6.87118764171106,7.09477266476105,4.95116834319465,7.1975646631814,5.16690916253399,5.45385691070858,0.763768240471972,2.42799733935072,2.04173315185425,3.58411190067918,3.17353103308983,2.90700174886803,3.1888581523632,4.33620692897926,4.88081566292088,3.48557354246325,3.26021050662186,0,1.09455778462599,1.87802835227873,1.29123867328639,1.46511688774768,5.09837898116225,4.5624131420612
"TX-ET_LTAzI-4",4.56641317958431,5.1536594942322,3.35627234780337,5.30914398445292,3.71773266329911,2.61511300808284,5.71934245176169,6.85336818626934,3.85861500674422,3.47522516056963,7.83623974729304,7.90805798659301,8.13164300964299,4.1300921260717,8.23443500806335,4.32060502747618,4.60755277565076,1.85832602509797,1.33343955472473,0.947175367228259,2.48955411605318,2.07897324846383,1.81244396424204,2.0943003677372,3.24164914435327,3.78625787829489,2.39101575783726,2.16565272199586,1.09455778462599,0,0.783470567652736,0.814606473379764,0.370559103121686,4.00382119653626,3.46785535743521
"TX-ET_LTAzI-3",5.34988374723705,5.93713006188494,4.13974291545611,6.09261455210566,4.50120323095185,3.39858357573558,6.50281301941443,7.63683875392207,4.64208557439695,4.25869572822236,8.61971031494578,8.69152855424575,8.91511357729573,4.91356269372444,9.01790557571609,5.01149653883418,5.29844428700876,2.6417965927507,2.11691012237746,1.73064593488099,3.02847991266419,1.74489997756813,1.61733009202441,1.33547368852924,2.84419425684038,3.02743119908693,2.92994155444826,1.76819783448297,1.87802835227873,0.783470567652736,0,0.739150751943442,1.15402967077442,4.04419169613669,4.00678115404621
"TX-ET_LTAzI-2",4.76309406824471,5.3503403828926,4.17087882118313,5.50582487311332,4.53233913667887,3.42971948146261,5.97371078016614,7.10773651467378,4.05529589540461,3.67190604923002,8.09060807569749,8.16242631499745,8.38601133804744,4.94469859945146,8.4888033364678,5.13521150085594,5.42215924903053,2.05500691375836,2.14804602810449,1.76178184060802,3.30416058943295,2.48405072951157,2.35648084396785,2.07462444047269,3.58334500878382,3.76658195103037,3.20562223121702,2.50734858642641,1.29123867328639,0.814606473379764,0.739150751943442,0,1.18516557650145,4.78334244808013,4.28246183081497
"IX-ET_LTAzI-2/5/6TX-ET_LTAzI-2/5/6",4.936972282706,5.52421859735389,2.98571324468168,5.67970308757461,3.34717356017743,2.24455390496116,5.34878334864,6.48280908314765,3.79100348266148,3.84578426369131,7.46568064417136,7.53749888347132,7.76108390652131,3.75953302295001,7.86387590494166,3.95004592435449,4.23699367252908,2.22888512821965,0.962880451603042,0.576616264106572,2.1189950129315,1.70841414534215,1.44188486112035,1.72374126461552,2.87109004123158,3.4156987751732,2.02045665471557,1.79509361887418,1.46511688774768,0.370559103121686,1.15402967077442,1.18516557650145,0,3.63326209341457,3.09729625431352
"XO-ET_LTAzI-2",6.18806135089068,6.17830686023815,3.9081932477216,6.02282237001742,3.55332667450202,3.16703390800108,5.5549364629646,6.68896219747225,4.7134834857014,5.09687333187599,7.67183375849596,7.74365199779592,7.96723702084591,3.96568613727461,8.07002901926626,1.54068122388902,1.82762897206361,4.99597823301115,2.9565385778452,3.056645829308,1.71134379691492,2.36267333518575,2.62920261940754,2.70871800760745,1.19999743929631,2.68763374626821,1.612805438699,2.27599386165372,5.09837898116225,4.00382119653626,4.04419169613669,4.78334244808013,3.63326209341457,0,0.53596583910105
"XO-ET_LTAzI-1",5.65209551178963,5.6423410211371,3.37222740862055,5.48685653091637,3.01736083540098,2.63106806890003,5.01897062386356,6.1529963583712,4.17751764660035,4.56090749277494,7.13586791939491,7.20768615869487,7.43127118174486,3.42972029817356,7.53406318016522,1.00471538478797,1.29166313296256,4.4600123939101,2.42057273874415,2.52067999020695,1.17537795781387,2.26188117647808,2.52841046069988,2.67130746551696,1.19492183115335,2.68255813812526,1.07683959959795,2.27091825351076,4.5624131420612,3.46785535743521,4.00678115404621,4.28246183081497,3.09729625431352,0.53596583910105,0
