Site,Region,Period,Number,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,Architecture,TerraceConfidence,TerraceExtent,Sherd,SherdMed,SherdMin,SherdMax,Rubble,RubbleMed,RubbleMin,RubbleMax,Population,PopMin,PopMax,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,OccSeqLoc,SubOc1,SubOc2,PdDupSite,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum,
TE-LT-55,TE,LT,55,0,,,,,,,2181.62,523,2378,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,Unknown,,610,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69,B,B,0,3,,2182,523,2181620,523000,2982,
TE-LT-56,TE,LT,56,0,,,,,,,2181.87,523,2394,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,Unknown,,610,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69,B,B,0,3,,2182,523,2181870,523000,2983,
TE-LT-57,TE,LT,57,0,,,,,,,2181.88,523,2395,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,Unknown,,600,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69,B,B,0,3,,2182,523,2181880,523000,2984,
TE-LT-58,TE,LT,58,0,,,,,,,2182.28,523,2420,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,Unknown,,600,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69,B,B,0,3,,2182,523,2182280,523000,2985,
TE-LT-51,TE,LT,51,0,,,,,,,2181.08,523,2358,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,Unknown,,610,9.1,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,70,A,A,0,3,,2181,523,2181080,523000,2978,
TE-LT-52,TE,LT,52,0,,,,,,,2181.21,524,2361,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,Unknown,,610,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,A,A,0,3,,2181,524,2181210,524000,2979,
TE-LT-322,TE,LT,322,0,,,,,,,2171.63,523,2418,0,0,0,,Middle Piedmont,Shallow,,,,Deep,,,,Grazing & Agri,,640,41.6,,,,,,,FALSE,,,,,,,,,,,80,0,0,AD,6,Hamlet,0,0,0,0,0,4,0,2,2,2,0,0,0,0,1,0,71,B,C,0,3,,2172,523,2171630,523000,3124,
TE-LT-130,TE,LT,130,0,,,,,,,2175.01,529,2490,0,0,0,,Middle Piedmont,Shallow,,,,Slight,,,,Grazing & Agri,,640,9,,,,,,,FALSE,,,,,,,,,,,30,0,0,AD,6,Hamlet,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,73,B,C,0,3,,2175,529,2175010,529000,3035,
TE-LT-187,TE,LT,187,0,,,,,,,2174.23,530,2585,0,0,0,,Upper Piedmont,Medium-Deep,,,,Moderate-Deep,,,,Grazing & Agri,,650,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,12,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,75,B,C,0,3,,2174,530,2174230,530000,3067,
TE-LT-188,TE,LT,188,0,,,,,,,2176.42,531,2520,0,0,0,,Upper Piedmont,Shallow-Medium,,,,Moderate-Deep,,,,"Graz, Agri, & Set",,640,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,12,Unknown,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,77,B,C,0,3,,2176,531,2176420,531000,3068,
